,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MU,NAT,NMDA,VAChT
20,-2.1240792,3.605720554000572,0.9097804,-1.4766747,1.4640273864952422,1.270266,-0.48593654200320774,-1.9309937664271117,1.2305618154524538,-0.8925352736254599,0.8101574530184881,4.0061101300515665,-0.4622212953897491,1.8037130617796862,0.2994180334214054,-2.2135095092434125,0.3829949314075078,1.4351766446605387,-0.269514819469662
21,-1.3717545,1.6558027853944843,0.28838918,-1.07964,0.7866117704603989,1.5382346,-0.5652793879405651,-1.8729018603071368,0.650380613912608,-0.8625603930658994,0.7476545738704462,2.06598439453017,-0.5552238460684614,0.5085429571517205,-0.48942960173329975,-1.7227761242807114,0.1041271842491923,0.8994079228083923,-0.31956243065354367
22,-0.2761077,0.12835658036706976,0.5608724,0.69460034,0.120760555407834,-0.4285859,-0.34996059007720487,0.03947510342052907,-1.0757718502837048,-0.09468924560507155,-0.7827819016466374,0.843908522927489,-0.6647515550235454,0.4982163956445606,-0.13329108424874983,-1.0572906478946247,-0.0569154687199055,-0.9136566999717771,-0.538950578638906
23,-1.7747666,-0.42202592172270487,-0.32446948,-1.2865055,-0.8007011569785386,-0.015017764,-1.5868907034561885,-0.8684248596761576,-1.1263207801748412,-1.1230399311642578,-0.7761170864114268,1.0100464960044837,-1.1885925318739445,0.1817140853469956,-1.2677737281583323,-2.221321146184304,-0.22222730322633655,-0.9312633218187666,-1.3115046925031142
24,-1.5077814,0.3771626330719609,-0.36201403,-1.041769,0.5255015898185945,0.52299553,-1.2166972116782475,-1.3336670327592477,0.06739447834152545,-0.7590790482663651,-0.17151028776574617,1.8958557574411605,-0.9086395367743294,0.6122250406853692,0.020966714077288496,-2.0868281484975597,0.1075768882006143,0.2893435115729619,-0.9417514760265788
25,-1.0858032,1.1227960084428186,0.37933525,-0.35393935,1.3650033727364779,0.9947548,-0.206639956228569,-1.3427882418155257,0.49750251770971393,-0.6148323012046547,0.7909051690435588,1.9351334266572893,-0.14869889053311158,1.059384645637948,0.5594512906696295,-1.5352010110241021,0.5223859579578166,1.1715563608439648,-0.2755772615173127
26,-0.80679685,0.6599933559401032,0.81315726,-0.014742113,0.17234977161733914,-0.1838723,0.08199735139948952,-0.7004708504844134,-0.2897926710565973,-0.4595078360125693,-0.0387631052113819,0.6370597999668671,-1.0124588157288175,0.3907408978248006,-0.6222952624900095,-1.4276746344845752,0.45619211924163094,0.7628861185620635,-0.5463743564769754
27,-0.07012943,0.5165266535421497,0.72603416,0.9964433,0.2734384590218475,-0.7150357,0.1731870927062723,0.5995748822143163,-0.7544852191107715,-0.06017441153732459,-0.8787457768210688,0.04444237170757532,-0.37274487752830593,0.9017900740044316,0.23270689650503124,-0.7577005270277908,0.4391860388769802,-0.48639510156969107,-0.6434100680957304
28,-1.2948961,-1.256655594950413,-0.7328459,-0.5451502,-1.1431940452516218,-0.00971612,-1.4551065388602162,-0.6049887233875895,-1.496222687553464,-0.738152861918351,-1.3401868237986574,-0.15796046520552676,-1.552838989024604,-0.20010234430847113,-1.079920507172635,-1.862077353184536,-0.30810772128086017,-1.7643355837257404,-1.101663284703714
29,-0.9506606,-0.10985966052076405,-0.34258357,-0.38380504,0.25517350259648874,-0.05269773,-0.5093902698784281,-0.8303244882382969,-0.5252221846396538,-0.5144367365775663,-0.3331417289863701,0.29993904036325103,-0.6765209644966026,0.3328384642944239,-0.036676162261699,-1.3536109314282936,0.3979683685476818,0.5679877406908671,-0.719750622568744
30,-0.82674664,-0.5571495605495395,-0.16766275,-0.1480681,-0.3835757949701662,-0.7615378,-0.6179349006197488,-0.10490693403808847,-1.1247351772709655,-0.5037785289211419,-1.3159574525206286,-0.08500296781903247,-0.871112958601402,0.16984069863146634,-0.4591827155031828,-0.9951455959536134,-0.2108694952694354,-1.1875031211480795,-1.1294755425585654
31,0.330244,-0.08534793891435558,0.31483477,0.18326478,1.1124966179980829,1.5592216,-0.5685078195549076,0.7401104616293009,0.5716340609758853,1.1170012211062013,0.8159812600714395,0.6229833616353893,1.077136361355281,0.7922774320020874,1.0083033213324282,0.1294775782984784,0.6152110948734665,0.3801296463001756,1.872741578010208
32,0.004173114,0.5934820011781714,0.8130273,0.591,1.0917793102804327,0.8126795,0.06298168224026762,0.3976272720159877,-0.012226855357758769,0.43939540950853184,0.19083852490484818,1.2810676260618277,0.6721236994820605,0.7384052993733484,1.178679568171648,-0.44248565762170905,1.1849475418631372,0.6841623740694869,1.5233542199078003
33,-0.037470415,-0.6766545228959494,-0.0819832,-0.42229167,0.014974700637912446,3.3045216,1.3764877101025235,-1.5741340260018506,1.3486929676804518,0.753309673709722,1.4657228189111835,0.03319873492833916,-0.12432799102352796,-1.1064196393349457,0.07530992507929653,-0.4031537578650985,0.38528889194777555,1.3204137611077365,2.9713443765862655
34,1.4276491,-0.5597868021325906,0.06778158,0.5977092,1.2148760166090604,3.2827015,0.32762615530365957,-0.027377227920227024,1.2269782033078904,1.885899423137177,1.7804161634553106,0.29025636341873884,0.25503438366391895,0.0653349599320787,1.5090199426810702,1.1787727632082765,0.2545138126820967,1.4447953527993678,3.0648254568970237
35,-0.21888933,-1.3942149079805284,-0.42623863,-0.5298416,-0.8217813031162803,3.2866771,0.5620889317878373,-2.2766429483690094,0.45008832264007986,-0.5166806843655402,1.2932718377343886,0.30927977953452895,-1.5391221026499347,-2.008882179759193,-0.35945659245566397,-0.35807194831744993,-0.43185347457258794,0.9766030502845402,1.4605163260787086
36,0.5741808,0.5442489032120936,1.1513237,1.1628274,1.003492342334908,0.15112214,0.40605531370400716,0.9062982284365065,-0.378117796726426,0.5495906558382241,0.0816728235069359,0.9128972486594011,0.2897820424703581,0.7972936170634027,1.315536259661903,0.08276092450740757,0.8091447671776978,0.1941200399724737,0.48645667469196835
37,-0.4817619,-1.3453125311028904,0.037384935,-0.4965139,-0.925805662088596,1.3626938,0.015509250957319027,-2.48259685755075,0.2311530159526766,-0.8549621252480837,1.0435977560888134,-0.2009991024294956,-1.016013343933413,-2.715064183261679,-0.7958541006024419,-0.7172011413142029,-0.7575690975293913,1.3259592597697678,0.3367226770764951
38,0.9515672,0.4652514197184572,0.4756726,0.82874376,0.8896555603434834,1.8507521,-0.17024249403802486,0.40058889628585687,0.5404960607022022,0.432142380634566,0.966626585271281,-0.4595853734650751,0.20078962239065673,0.31873220936133645,2.1237970064239833,0.6967859804949978,1.0897630700235617,0.8028302821039892,1.387687610593301
39,0.63799435,1.031948161652257,0.42916802,0.6390112,0.8708671230241335,0.14923282,0.8787753085729434,1.5207827452684395,-0.8767287275460433,0.13172476542638945,-0.2356809173894454,-0.5963632627406841,0.9473490221163946,0.6781101899597426,0.8870412545494714,0.04576955450392758,1.7226777539051776,-0.609667832894442,1.0332353312140938
40,0.62254816,0.6571047551623912,0.34315702,0.8723009,0.950657682668081,1.3174063,-0.2004593722438037,-0.0676514361390536,0.940149511081164,0.31684107568575676,1.002881173342255,1.6110410522102785,-0.12858028003805588,0.3300745180768101,1.9819183318884395,0.5749791020116481,1.0200965945087568,1.3289009375228187,1.5195009633597818
41,0.621763,1.0180326361692678,0.4209429,1.1224055,0.9680469983253099,0.29683024,0.859070493434506,1.8677243553805343,-0.5406796295526921,0.515607063733308,-0.05197078459772014,-0.1796700388285333,0.49044937326593263,1.159667184283703,1.3924699095406512,0.5505313718512034,1.7458989512429746,-0.6323876782719945,0.6403694318405236
42,-0.18059509,1.1389964693668495,-0.6603788,-0.7131086,0.46590230343297084,-0.2650615,1.5999013863373603,1.1369487045348012,-1.3529030929937065,-0.2405972706934628,-0.3319777063300242,-0.051766546761113016,0.4900582188292733,0.2729973539310175,-0.005483379887433515,-0.21596240969095004,2.144924725454595,-0.5926453809762416,0.884546535201665
43,-0.03774839,0.11201040485566288,-0.6827716,-0.72039664,-0.6421198745910515,-0.026576567,1.1701009063721757,1.184408904717605,-1.998337568519429,-0.3646342103832336,-1.0094146087988836,-0.9250349623662328,0.15252767351238458,0.5421518006172444,-0.5991850458793535,-1.0649703374320598,1.3598948892055296,-2.100923054082019,-0.1835494515473304
44,-0.71253777,1.2439410346879016,-0.9443395,-1.3187224,0.14599442377891297,-0.01792868,0.9120250499395036,-0.3300040792001309,-0.5163619071462527,-0.38878703722472646,0.33364669275109216,0.02945444681187639,-0.34314284576465565,-0.5452558284433823,-0.09850647687743369,-0.533615185954837,1.8908630200996455,0.6939774202814694,1.8107942697075778
